# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'task-clock:ppp'
# Event count (approx.): 23553270750
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     0.05%  [.] <serde_json::value::ser::SerializeMap as serde_core::ser::SerializeStruct>::serialize_field
     0.05%  [.] <serde_path_to_error::de::CaptureKey<X> as serde_core::de::DeserializeSeed>::deserialize
     0.05%  [.] _ZN4core3ptr303drop_in_place$LT$tower..util..oneshot..State$LT$tower..util..boxed_clone_sync..BoxCloneSyncService$LT$http..request..Request$LT$axum_core..body..Body$GT$$C$http..response..Response$LT$axum_core..body..Body$GT$$C$core..convert..Infallible$GT$$C$http..request..Request$LT$axum_core..body..Body$GT$$GT$$GT$17h92f479ed3aa269ebE.llvm.5877613593704100012
     0.05%  [.] _ZN5prost8encoding6varint13encode_varint17hf9bbfd5e1c658002E.llvm.8983119700516616916
     0.05%  [.] _ZN63_$LT$a2a_pb..proto..Part$u20$as$u20$prost..message..Message$GT$11encoded_len17h28ceaa613105a3c8E.llvm.2136855078717401110
     0.05%  [.] futures_channel::mpsc::channel
     0.05%  [k] ip_local_deliver
     0.05%  [.] <a2a_pb::protojson::Part as serde_core::de::Deserialize>::deserialize
     0.05%  [.] _ZN5tokio7runtime4time6Driver13park_internal17h4f97ed95874b67b5E.llvm.2854303451917696825
     0.05%  [k] __mod_timer
     0.05%  [.] alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
     0.05%  [k] ksys_write
     0.05%  [.] prost::encoding::bytes::merge_one_copy
     0.05%  [.] <hashbrown::raw::RawTable<T,A> as core::clone::Clone>::clone
     0.05%  [k] __futex_hash
     0.05%  [.] __libc_calloc
     0.05%  [k] __slab_free
     0.05%  [k] _copy_from_iter
     0.05%  [.] a2a::jsonrpc::_::<impl serde_core::ser::Serialize for a2a::jsonrpc::JsonRpcResponse>::serialize
     0.05%  [.] a2a_pb::protojson::part::Content::merge
     0.05%  [.] a2a_pb::protojson_conv::from_value
     0.05%  [.] alloc::sync::Arc<T,A>::drop_slow
     0.05%  [k] ep_item_poll.isra.0
     0.05%  [k] futex_ref_get
     0.05%  [k] process_backlog
     0.05%  [.] prost::encoding::<impl prost::encoding::sealed::BytesAdapter for alloc::vec::Vec<u8>>::replace_with
     0.05%  [k] sock_poll
     0.05%  [k] tcp_rcv_space_adjust
     0.05%  [.] tokio::sync::batch_semaphore::Semaphore::close
     0.05%  [.] <a2a_pb::protojson::SendMessageRequest as serde_core::de::Deserialize>::deserialize
     0.05%  [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     0.05%  [.] <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     0.05%  [.] <hyper::body::incoming::Incoming as http_body::Body>::poll_frame
     0.05%  [.] _ZN5tokio7runtime9scheduler12multi_thread4park8Unparker6unpark17h6a8b0a98e449c95cE.llvm.8499131161119049251
     0.05%  [.] __GI___pthread_enable_asynccancel
     0.05%  [k] __pv_queued_spin_lock_slowpath
     0.05%  [k] avc_lookup
     0.05%  [.] bytes::bytes_mut::BytesMut::reserve_inner
     0.05%  [k] futex_do_wait
     0.05%  [k] futex_q_lock
     0.05%  [k] ip_rcv_finish_core
     0.05%  [.] matchit::tree::Node<T>::at
     0.05%  [k] net_rx_action
     0.05%  [.] parking_lot::raw_mutex::RawMutex::lock_slow
     0.05%  [.] prost::message::Message::encode_to_vec
